Date,Service,@level,Message
"2025-07-27T17:56:55.414Z","ai-ops-analytics","INFO","Processing Alert Trigger. Module Name: ELEPHANT_FLOW Alert Type: FIRING Device Id: c59d1eba-3169-11f0-bd43-f2c0a0fdf6a8"
"2025-07-27T17:56:55.411Z","ai-ops-analytics","INFO","Executing Alert Trigger Prepare Action"
"2025-07-27T17:56:55.222Z","ai-ops-orchestrator","DEBUG","Finished plugin execution : PluginConfig(plugin=WEBHOOK, config={moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"2025-07-27T17:56:55.222Z","ai-ops-orchestrator","INFO","Alert trigger posted to ai-ops-analytics"
"2025-07-27T17:56:55.222Z","ai-ops-orchestrator","INFO","Alert trigger of type ELEPHANT_FLOW for device c59d1eba-3169-11f0-bd43-f2c0a0fdf6a8 posted to AIOPS Analytics"
"2025-07-27T17:56:55.222Z","ai-ops-orchestrator","INFO","responseEntity: <200 OK OK,{""tags"":{},""tagKeys"":[],""tagValues"":[],""uid"":""8af20428-4797-4085-9ed5-597b650b00f2"",""name"":"""",""namespace"":""aiops"",""type"":""alert-trigger"",""version"":1,""createdDate"":1753639014862,""lastUpdatedDate"":1753639015133,""actionContext"":null,""stateMachineContext"":null,""stateDate"":null,""status"":""IDLE"",""stateMachineDetails"":null,""scheduledStateMachineEnabledMap"":{},""pendingStatesQueue"":[],""createdTenantUid"":null,""moduleName"":""ELEPHANT_FLOW"",""deviceId"":""c59d1eba-3169-11f0-bd43-f2c0a0fdf6a8"",""alertType"":""FIRING"",""state"":null,""triggerState"":null,""queueTriggerState"":null,""alertDate"":1753639014684},[Content-Type:""application/json"", Transfer-Encoding:""chunked"", Connection:""keep-alive"", Date:""Sun, 27 Jul 2025 17:56:55 GMT"", Expires:""0"", X-Frame-Options:""DENY"", Vary:""Origin"", ""Access-Control-Request-Method"", ""Access-Control-Request-Headers"", ""Origin"", Transaction-Id:""3fac504d-d575-470c-aba4-39b7dc76f2a5"", X-Content-Type-Options:""nosniff"", X-XSS-Protection:""0"", Cache-Control:""no-cache, no-store, max-age=0, must-revalidate"", Pragma:""no-cache"", X-Cache:""Miss from cloudfront"", Via:""1.1 d4269b452831f0e203a89d437c84974c.cloudfront.net (CloudFront)"", X-Amz-Cf-Pop:""HIO50-C2"", Alt-Svc:""h3="":443""; ma=86400"", X-Amz-Cf-Id:""iN1FpruKbGl9jE26s3m_kuFUEdLOXrBAqjUTTSC9jotx8_lhqfKizg==""]>"
"2025-07-27T17:56:54.801Z","ai-ops-orchestrator","DEBUG","Starting plugin execution : PluginConfig(plugin=WEBHOOK, config={moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"2025-07-27T17:56:54.801Z","ai-ops-orchestrator","DEBUG","Finished plugin execution : PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6, moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"2025-07-27T17:56:54.801Z","ai-ops-orchestrator","DEBUG","Starting plugin execution : PluginConfig(plugin=FTD_MINIMUM_VERSION, config={min-version=7.6, moduleName=ELEPHANT_FLOW, destination=ai-ops-analytics})"
"2025-07-27T17:56:54.799Z","ai-ops-orchestrator","DEBUG","Processing a FIRING alert : PrometheusAlert(status=firing, labels={alertname=ElephantFlowDuressDetected, severity=critical, tenant_uuid=af5f6035-7538-4709-b073-7b5f4b69543c, uuid=c59d1eba-3169-11f0-bd43-f2c0a0fdf6a8}, annotations={summary=Snort busy detected with elephant flow by device, timestamp=2025-07-27 17:56:54.684 +0000 UTC}, startsAt=2025-07-27T17:56:54.685Z, endsAt=0001-01-01T00:00:00Z, generatorURL=https://stagingaiopscisco.grafana.net/explore?left=%7B%22datasource%22%3A%22grafanacloud-prom%22%2C%22queries%22%3A%5B%7B%22datasource%22%3A%7B%22type%22%3A%22prometheus%22%2C%22uid%22%3A%22grafanacloud-prom%22%7D%2C%22expr%22%3A%22count+by+%28tenant_uuid%2C+uuid%29+%28efd_cpu_usage%29+%3E+0+and+on+%28tenant_uuid%29+elephant_flow_enabled+%3E+0%22%2C%22refId%22%3A%22A%22%7D%5D%2C%22range%22%3A%7B%22from%22%3A%22now-1h%22%2C%22to%22%3A%22now%22%7D%7D, fingerPrint=null)"
"2025-07-27T17:56:54.798Z","ai-ops-orchestrator","DEBUG","Security context set for tenant"
"2025-07-27T17:56:54.754Z","ai-ops-alert-services","INFO","Alert notification published, AlertName: ElephantFlowDuressDetected, AlertStatus: firing, tenantId: af5f6035-7538-4709-b073-7b5f4b69543c"
