Service,Message
"ai-ops-orchestrator","Extracted app onboard URLs: {ai-ops-analytics=/api/platform/ai-ops-analytics/v1/onboard, ai-ops-bestpractices=/api/platform/ai-ops-bpr/v1/onboard, feature-adoption=/api/platform/feature-adoption/v1/onboard, softwareUpgradePlanner=/api/platform/upgrade-planner/v1/onboard, ai-ops-forecast=/api/platform/ai-ops-forecast/v1/onboard, ai-ops-anomaly-detection=/api/platform/ai-ops-anomaly-detection/v1/onboard, ai-ops-correlation=/api/platform/ai-ops-correlation/v1/onboard, aiops-pao=/aegis/rest/v1/fmc/aiops-pao/onboard}"
"ai-ops-orchestrator","Offboarding the registered apps"
"ai-ops-orchestrator","Tenant OptOut is success"
"ai-ops-insights","http://platform.staging.cdo.cisco.com/v1/insights called with query param insightState:ACTIVE"
"ai-ops-insights","InsightModelController::Get Insights"
"ai-ops-orchestrator","No queued SMs for job 4d1c5ec8-24ce-4470-92ce-be528fe08f82. Ignoring request to trigger SMs"
"ai-ops-orchestrator","AiopsInsightApiClient::Get Insights with filter insightState:ACTIVE&fields=uid"
"ai-ops-orchestrator","Updating the AIOps flag for the resource: null of type TENANT"
"ai-ops-orchestrator","FMC OptOut Job polling completed successfully on tenant af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-orchestrator","StateMachine instance for FMC OptOut is completed DONE for ID 4d1c5ec8-24ce-4470-92ce-be528fe08f82"
"ai-ops-orchestrator","FMC OptOut is success for FMC c8dca160-91b5-4bd9-b0c8-dd0faa76af50"
"ai-ops-orchestrator","Updating the AIOps flag for the resource: c8dca160-91b5-4bd9-b0c8-dd0faa76af50 of type FMC"
"ai-ops-orchestrator","StateMachine instance for FMC OptOut is still running DONE for ID 4d1c5ec8-24ce-4470-92ce-be528fe08f82"
"ai-ops-orchestrator","Start FMC Job Poll action on tenant af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-orchestrator","payload for fmc uid c8dca160-91b5-4bd9-b0c8-dd0faa76af50 : FmcPayload(deviceUid=c8dca160-91b5-4bd9-b0c8-dd0faa76af50, request=FmcRequest(commands=[FmcCommand(method=POST, link=/api/fmc_config/v1/domain/e276abec-e0f2-11e3-8169-6d9ed49b625f/integration/aiops/configure, body={""enabled"":false,""tenantUuid"":""af5f6035-7538-4709-b073-7b5f4b69543c""})]))"
"ai-ops-orchestrator","Sending the request to FMC to configure Remote ReadWrite and upload TSDB data"
"ai-ops-orchestrator","FMC feature OptOut Job Action creation success"
"ai-ops-orchestrator","FMC UID: c8dca160-91b5-4bd9-b0c8-dd0faa76af50 and name FMC"
"ai-ops-orchestrator","Creating FMC OptOut task on :"
"ai-ops-orchestrator","Processing FMC Feature OptOut Job Action for tenant af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-tenant-services","Deleted the tenant record from internal database for tenant: af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-tenant-services","Invalidating token cache for tenant: af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-tenant-services","Deleting provisioned resources for tenant: af5f6035-7538-4709-b073-7b5f4b69543c"
"ai-ops-orchestrator","Deleting data store"
"ai-ops-orchestrator","Removing Subscriber Configs"
